시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
고등동행정복지센터,경기도,성남시,41131,경기도 성남시 수정구 대왕판교로 982번길 25,경기도 성남시 수정구 고등동 378-1,37.42884094,127.1048613,고등동행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,Y,고등동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
구미도서관,경기도,성남시,41135,경기도 성남시 분당구 미금일로 105,경기도 성남시 분당구 구미동 16,37.34552982,127.1076887,구미도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,구미도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
도촌종합사회복지관,경기도,성남시,41133,경기도 성남시 중원구 도촌북로 92,경기도 성남시 중원구 도촌동 647,37.41516423,127.1590865,도촌종합사회복지관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,도촌종합사회복지관,070-4236-4587,2020-06-30,3780000,경기도 성남시
만나교회(휴먼브릿지),경기도,성남시,41135,경기도 성남시 분당구 양현로 353,경기도 성남시 분당구 야탑동 393,37.41474683,127.1221609,만나교회(휴먼브릿지),9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,만나교회(휴먼브릿지),070-4236-4587,2020-06-30,3780000,경기도 성남시
백현동행정복지센터,경기도,성남시,41135,경기도 성남시 분당구 동판교로 21,경기도 성남시 분당구 백현동 557,37.38853828,127.1108397,백현동행정복지센터,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,백현동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
분당노인종합복지관,경기도,성남시,41135,경기도 성남시 분당구 불정로 50,경기도 성남시 분당구 정자동 253,37.35760271,127.1125099,분당노인종합복지관,9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,분당노인종합복지관,070-4236-4587,2020-06-30,3780000,경기도 성남시
분당도서관,경기도,성남시,41135,경기도 성남시 분당구 불정로110,경기도 성남시 분당구 정자동 208,37.35810335,127.1165787,분당도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,분당도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
분당우리교회(우리주간보호센터),경기도,성남시,41135,경기도 성남시 분당구 황새울로 311번길9,경기도 성남시 분당구 서현동 276-2,37.38481773,127.1194113,분당우리교회(우리주간보호센터),9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,분당우리교회(우리주간보호센터),070-4236-4587,2020-06-30,3780000,경기도 성남시
삼평동행정복지센터,경기도,성남시,41135,경기도 성남시 분당구 동판교로 266번길 7,경기도 성남시 분당구 삼평동 712,37.40612818,127.1163097,삼평동행정복지센터,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,삼평동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
상대원2동 제1복지회관,경기도,성남시,41133,경기도 성남시 중원구 희망로335번길 40,경기도 성남시 중원구 상대원동 4672,37.43632679,127.1540375,상대원2동 제1복지회관,9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,상대원2동 제1복지회관,070-4236-4587,2020-06-30,3780000,경기도 성남시
샘물교회(마라톤주간보호센터),경기도,성남시,41135,"경기도 성남시 분당구 내정로 17번길 8, 분당타운",경기도 성남시 분당구 정자동 131-3,37.36190115,127.1138348,샘물교회(마라톤주간보호센터),9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,샘물교회(마라톤주간보호센터),070-4236-4587,2020-06-30,3780000,경기도 성남시
서현도서관,경기도,성남시,41135,경기도 성남시 분당구 중앙공원로 77,경기도 성남시 분당구 서현동 234,37.38358563,127.1324713,서현도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,서현도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
성남종합사회복지관,경기도,성남시,41133,경기도 성남시 중원구 금빛로 89,경기도 성남시 중원구 금광동 2957,37.44970315,127.1660806,성남종합사회복지관,9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,성남종합사회복지관,070-4236-4587,2020-06-30,3780000,경기도 성남시
성남중앙병원,경기도,성남시,41133,경기도 성남시 중원구 산성대로476번길 12,경기도 성남시 중원구 금광동 3956,37.45294525,127.162001,성남중앙병원,0:00,0:00,0:00,0:00,0:00,0:00,1,Y,Y,성남중앙병원,070-4236-4587,2020-06-30,3780000,경기도 성남시
수정도서관,경기도,성남시,41131,경기도 성남시 수정구 수정로332번길 32,경기도 성남시 수정구 산성동 2224,37.45224023,127.1528496,수정도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,수정도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
야탑2동행정복지센터,경기도,성남시,41135,경기도 성남시 분당구 야탑로76번길 5,경기도 성남시 분당구 야탑동 508,37.40942532,127.1273752,야탑2동행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,Y,야탑2동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
양지동행정복지센터,경기도,성남시,41131,경기도 성남시 수정구 산성대로 483,경기도 성남시 수정구 양지동 870,37.45490007,127.1609609,양지동행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,Y,양지동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
운중동행정복지센터,경기도,성남시,41135,경기도 성남시 분당구 운중로 138번길 10,경기도 성남시 분당구 운중동 935,37.39058287,127.0778912,운중동행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,Y,운중동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
위례종합사회복지관,경기도,성남시,41131,경기도 성남시 수정구 위례광장로 311,경기도 성남시 수정구 창곡동 510,37.47122697,127.143736,위례종합사회복지관,9:00,18:00,9:00,18:00,9:00,18:00,1,Y,Y,위례종합사회복지관,070-4236-4587,2020-06-30,3780000,경기도 성남시
중앙도서관,경기도,성남시,41135,경기도 성남시 분당구 판교로 542,경기도 성남시 분당구 야탑동 622-1,37.40671897,127.1336235,중앙도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,중앙도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
중앙동행정복지센터,경기도,성남시,41133,경기도 성남시 중원구 광명로264번길 1,경기도 성남시 중원구 중앙동 708,37.44285798,127.1562974,중앙동행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,Y,중앙동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
중원도서관,경기도,성남시,41133,경기도 성남시 중원구 원터로17번길 46,경기도 성남시 중원구 성남동 3116-1,37.43022796,127.1401641,중원도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,중원도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
중원어린이도서관,경기도,성남시,41133,경기도 성남시 중원구 산성대로 408번길 42,경기도 성남시 중원구 금광동 3487,37.44762767,127.1631694,중원어린이도서관,9:00,18:00,9:00,18:00,0:00,0:00,1,Y,Y,중원어린이도서관,070-4236-4587,2020-06-30,3780000,경기도 성남시
차량등록사업소,경기도,성남시,41135,경기도 성남시 분당구 야탑로 327,경기도 성남시 분당구 야탑동 135-5,37.40723853,127.1538966,차량등록사업소,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,Y,차량등록사업소,070-4236-4587,2020-06-30,3780000,경기도 성남시
포남2동주민센터,강원도,강릉시,42150,강원도 강릉시 하평2길 29,강원도 강릉시 포남동 1295-2,37.77281181,128.9133992,포남2동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
초당동주민센터,강원도,강릉시,42150,강원도 강릉시 초당순두부길 99,강원도 강릉시 초당동 2-2,37.79188965,128.9159527,초당동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
송정동주민센터,강원도,강릉시,42150,강원도 강릉시 경강로 2451,강원도 강릉시 송정동 161,37.77446886,128.9275737,송정동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
내곡동주민센터,강원도,강릉시,42150,강원도 강릉시 범일로 574,강원도 강릉시 내곡동 329,37.7389759,128.8809696,내곡동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
